long_name,height_cm,weight_kg,age,overall,potential,sofifa_id,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Alexis Mac Allister,176,72,23,78,84,239837.0,RES, Argentina,79,78.0,61.0,78.0,73.0,77,83,81,77,80,75,69,73,74,72,76,64,68,63,82,51,45,78,78.0,77.0,65,54,51,7.0,10.0,14.0,15.0,10.0
Paulo Bruno Exequiel Dybala,177,75,28,86,86,211110.0,SUB, Argentina,82,81.0,58.0,86.0,88.0,89,89,88,79,91,84,76,88,79,90,84,74,68,60,88,43,42,82,91.0,84.0,32,41,39,5.0,4.0,4.0,5.0,8.0
Lautaro Javier Martínez,174,72,24,87,91,231478.0,ST, Argentina,58,89.0,84.0,76.0,90.0,85,78,54,73,87,87,82,86,89,89,82,89,80,84,77,90,45,88,80.0,74.0,55,31,44,11.0,8.0,8.0,8.0,13.0
Damián Emiliano Martínez,195,88,29,85,85,202811.0,GK, Argentina,22,16.0,26.0,50.0,13.0,13,22,20,51,35,59,57,49,81,49,62,60,40,70,16,37,13,12,66.0,42.0,11,20,20,86.0,83.0,82.0,85.0,86.0
Enzo Jeremías Fernández,180,77,21,79,87,247090.0,SUB, Argentina,66,66.0,66.0,83.0,75.0,77,74,69,81,80,77,72,76,77,77,83,70,83,79,78,82,70,79,82.0,70.0,72,75,74,8.0,6.0,7.0,8.0,10.0
Lisandro Martínez,178,77,24,82,87,239301.0,SUB, Argentina,75,52.0,75.0,80.0,56.0,76,63,55,82,80,74,71,73,77,79,72,91,85,81,66,85,82,62,73.0,55.0,83,84,82,6.0,14.0,13.0,14.0,8.0
Nahuel Molina Lucero,175,70,24,80,86,233084.0,RB, Argentina,80,67.0,60.0,76.0,62.0,79,65,45,70,81,86,83,80,83,75,70,75,81,62,70,74,80,76,70.0,44.0,76,77,74,12.0,13.0,8.0,5.0,10.0
Mohammed Faraj Al Rubaie Al Yami,190,77,24,66,72,245276.0,SUB, Saudi Arabia,21,15.0,23.0,37.0,19.0,17,21,22,39,27,36,40,38,63,53,47,64,35,63,18,31,24,18,54.0,22.0,30,22,22,68.0,59.0,62.0,66.0,69.0
Sultan Abdullah Al-Ghannam,173,62,28,73,73,232477.0,SUB, Saudi Arabia,77,58.0,58.0,71.0,56.0,72,70,45,66,70,80,81,75,69,82,65,56,86,65,57,69,68,68,69.0,52.0,66,69,65,9.0,15.0,10.0,8.0,12.0
Abdullah Mohammed Madu,187,77,28,70,71,213901.0,LCB, Saudi Arabia,42,22.0,73.0,56.0,28.0,37,26,21,47,55,44,49,33,66,47,39,79,69,81,17,72,68,24,40.0,38.0,69,72,68,11.0,13.0,6.0,8.0,8.0
Abdulelah Ali Al-Amri,185,75,25,73,78,241197.0,RCB, Saudi Arabia,33,20.0,81.0,59.0,21.0,42,29,32,64,51,65,75,55,69,51,45,92,81,81,22,85,72,38,41.0,45.0,67,71,72,11.0,8.0,13.0,9.0,12.0
Ali Hadi Al-Bulaihi,182,77,32,68,68,229851.0,SUB, Saudi Arabia,30,40.0,70.0,56.0,29.0,34,30,23,33,52,50,43,36,61,64,43,82,70,81,25,81,64,36,30.0,45.0,62,68,71,13.0,11.0,8.0,14.0,10.0
Mohammed Ibrahim Al Burayk,173,61,29,70,70,221370.0,SUB, Saudi Arabia,73,55.0,54.0,68.0,43.0,69,70,69,68,72,73,80,65,64,74,64,81,77,61,53,60,65,74,71.0,55.0,64,64,67,10.0,9.0,10.0,7.0,9.0
Salman Mohammed Al-Faraj,180,64,32,76,76,191269.0,CAM, Saudi Arabia,77,67.0,57.0,79.0,73.0,73,82,67,81,77,52,66,83,74,68,74,61,72,67,68,70,69,77,78.0,69.0,67,73,58,13.0,16.0,11.0,15.0,11.0
Abdulelah Saad Hameed Al-Malki,176,70,27,72,73,230713.0,SUB, Saudi Arabia,56,54.0,56.0,70.0,47.0,66,51,43,68,66,66,71,61,68,72,69,69,82,72,60,78,73,57,63.0,45.0,68,70,72,12.0,8.0,12.0,12.0,6.0
Firas Tariq Nasser Al-Buraikan,181,74,22,67,78,238545.0,SUB, Saudi Arabia,36,70.0,69.0,57.0,63.0,63,45,30,35,66,66,75,66,65,63,66,76,73,68,52,33,16,70,48.0,60.0,17,20,15,8.0,10.0,7.0,5.0,6.0
Salem Mohammed Al-Dawsari,172,71,30,78,78,210602.0,LM, Saudi Arabia,69,74.0,55.0,69.0,76.0,83,67,60,66,78,84,85,81,75,85,72,44,89,77,76,81,50,76,73.0,69.0,62,41,51,7.0,12.0,13.0,14.0,10.0
Saleh Khalid Mohammed Al-Shehri,184,77,28,71,71,211173.0,ST, Saudi Arabia,38,75.0,75.0,62.0,69.0,63,52,37,39,68,64,64,67,72,45,71,84,64,84,58,61,20,73,54.0,72.0,26,19,33,12.0,13.0,16.0,10.0,13.0
Saud Abdullah Abdul Hamid,175,70,22,68,76,246688.0,RB, Saudi Arabia,64,39.0,49.0,62.0,35.0,67,45,43,58,62,84,86,80,60,84,50,65,80,65,43,64,65,65,51.0,45.0,61,65,62,5.0,9.0,6.0,12.0,14.0
Yasir Gharsan Al-Shahrani,171,64,30,75,75,210603.0,LB, Saudi Arabia,69,49.0,58.0,72.0,57.0,72,70,55,66,73,91,84,87,69,73,69,71,82,57,65,62,71,70,65.0,52.0,68,68,71,13.0,15.0,14.0,9.0,8.0
Abdullah Ibrahim Otayf,177,68,29,68,68,210926.0,SUB, Saudi Arabia,70,41.0,47.0,75.0,34.0,60,65,53,78,72,28,31,61,65,50,49,54,36,60,47,49,70,65,79.0,58.0,69,66,61,11.0,12.0,6.0,7.0,11.0
Ali Sadiq Nasser Al-Hassan,182,65,25,67,74,242863.0,RES, Saudi Arabia,46,55.0,54.0,72.0,39.0,63,50,37,65,65,66,67,63,63,65,51,69,75,67,47,74,66,61,62.0,42.0,58,61,64,14.0,12.0,11.0,9.0,11.0
Sami Khalil Al-Najei,176,68,25,69,72,233961.0,SUB, Saudi Arabia,66,71.0,59.0,70.0,58.0,69,57,48,66,73,76,70,76,69,64,67,66,72,66,66,52,59,76,66.0,50.0,52,64,57,8.0,7.0,8.0,9.0,6.0
Hassan Mohammed Al-Tambakti,182,74,23,66,76,245751.0,SUB, Saudi Arabia,22,22.0,66.0,50.0,30.0,23,23,31,45,46,82,82,60,63,60,38,79,76,82,16,62,66,14,20.0,35.0,65,64,64,13.0,10.0,14.0,14.0,10.0
Nawaf Shaker Al Abid,169,63,32,67,67,208949.0,RES, Saudi Arabia,68,66.0,40.0,68.0,63.0,69,66,64,65,74,55,52,73,61,64,71,50,35,55,69,73,36,64,70.0,75.0,60,39,40,11.0,10.0,10.0,15.0,9.0
Hattan Sultan Bahebri,172,67,29,71,71,208974.0,RM, Saudi Arabia,64,70.0,51.0,65.0,63.0,75,69,48,64,72,76,78,80,63,80,76,65,76,68,69,57,42,67,63.0,46.0,48,43,52,10.0,7.0,12.0,12.0,9.0
Abdulrahman Al Obud,174,70,27,67,67,238043.0,RES, Saudi Arabia,58,63.0,48.0,61.0,47.0,70,50,37,48,69,84,87,81,59,76,67,61,69,61,58,33,43,65,56.0,52.0,47,38,37,8.0,5.0,12.0,14.0,14.0
Mohammed Al Owais,185,79,30,71,71,210923.0,GK, Saudi Arabia,14,20.0,20.0,27.0,12.0,14,16,16,26,17,44,49,37,69,61,43,74,35,62,12,17,24,10,55.0,19.0,13,20,13,75.0,67.0,57.0,68.0,74.0
Nawaf Dhahi Faisal Al Suweiti Al-Aqidi,186,83,22,61,73,255368.0,SUB, Saudi Arabia,15,7.0,14.0,31.0,9.0,8,14,10,22,25,30,32,38,58,44,44,60,23,33,8,19,10,4,29.0,14.0,8,11,12,61.0,61.0,59.0,59.0,58.0
Mohammed Ibrahim Kanoo,192,67,27,72,73,220075.0,LDM, Saudi Arabia,66,65.0,69.0,74.0,56.0,72,56,52,75,72,70,79,74,69,61,76,67,81,76,72,68,66,67,66.0,62.0,70,71,62,10.0,15.0,9.0,13.0,11.0
Nasser Eissa Shafi Al-Dawsari,178,68,23,68,77,241938.0,SUB, Saudi Arabia,72,55.0,56.0,72.0,38.0,66,66,47,69,70,72,75,82,61,67,69,67,70,58,65,55,64,60,66.0,44.0,61,60,62,14.0,13.0,12.0,14.0,15.0
Haitham Mohammed Asiri,173,64,21,61,73,257842.0,SUB, Saudi Arabia,51,58.0,53.0,52.0,45.0,64,44,33,47,61,78,81,67,56,71,51,72,59,59,44,73,17,59,49.0,41.0,21,22,22,7.0,11.0,9.0,12.0,9.0
Riyadh Sharahili,184,77,29,66,66,229800.0,RDM, Saudi Arabia,48,54.0,60.0,65.0,32.0,63,41,39,61,65,49,52,57,63,35,54,65,83,80,49,60,64,60,57.0,45.0,63,63,55,10.0,15.0,10.0,14.0,7.0
Alfredo Talavera Díaz,188,85,39,77,77,156433.0,SUB, Mexico,15,13.0,14.0,35.0,13.0,10,15,14,35,21,58,58,57,70,47,53,82,36,75,13,38,24,14,50.0,44.0,26,13,14,77.0,80.0,70.0,75.0,76.0
Néstor Alejandro Araujo Razo,187,87,30,74,74,192041.0,SUB, Mexico,32,35.0,75.0,75.0,36.0,53,44,45,69,67,60,67,36,68,60,57,66,68,88,39,65,72,30,43.0,54.0,73,75,73,7.0,8.0,13.0,6.0,9.0
César Jasib Montes Castro,191,70,25,78,81,229980.0,RCB, Mexico,41,43.0,81.0,73.0,31.0,60,62,37,76,68,66,58,75,76,51,55,84,78,78,35,75,77,56,65.0,48.0,82,79,78,9.0,10.0,5.0,5.0,13.0
Edson Omar Álvarez Velázquez,187,73,24,80,85,235844.0,CDM, Mexico,64,57.0,81.0,76.0,63.0,68,42,40,72,71,69,73,62,76,68,70,77,87,86,40,84,83,56,64.0,65.0,84,81,79,7.0,11.0,10.0,7.0,6.0
Johan Felipe Vásquez Ibarra,185,72,23,73,82,244349.0,RES, Mexico,62,30.0,73.0,63.0,28.0,50,40,40,60,64,63,67,51,70,64,38,69,77,73,25,77,75,40,47.0,45.0,74,75,74,9.0,12.0,7.0,12.0,10.0
Gerardo Daniel Arteaga Zamora,174,65,23,73,80,236537.0,SUB, Mexico,72,53.0,61.0,73.0,37.0,72,71,38,67,69,82,81,81,63,76,58,72,78,58,48,64,68,70,58.0,46.0,66,73,71,9.0,5.0,10.0,5.0,7.0
Luis Francisco Romo Barrón,182,84,27,72,73,243015.0,RES, Mexico,52,65.0,70.0,75.0,44.0,65,58,66,77,70,69,68,58,70,54,75,88,75,90,67,76,69,68,71.0,82.0,69,73,68,11.0,9.0,13.0,9.0,12.0
Carlos Alberto Rodríguez Gómez,171,64,25,76,81,235389.0,LCM, Mexico,63,72.0,50.0,80.0,50.0,77,64,61,75,77,78,77,86,73,74,66,65,83,62,62,62,70,72,76.0,62.0,66,70,62,12.0,15.0,11.0,8.0,10.0
Raúl Alonso Jiménez Rodríguez,188,81,31,82,82,204838.0,ST, Mexico,73,81.0,80.0,81.0,80.0,82,75,51,75,80,66,79,76,82,65,84,74,79,85,74,82,53,82,78.0,92.0,45,38,30,7.0,11.0,13.0,14.0,10.0
Ernesto Alexis Vega Rojas,173,77,24,79,83,233260.0,RW, Mexico,69,79.0,64.0,77.0,65.0,82,72,75,74,79,81,79,83,80,86,81,70,80,75,77,64,26,81,77.0,66.0,44,19,18,5.0,11.0,12.0,8.0,7.0
Rogelio Gabriel Funes Mori,186,78,31,75,75,198140.0,SUB, Mexico,65,77.0,75.0,70.0,77.0,74,75,58,64,74,75,75,74,73,64,75,82,75,82,68,75,55,79,73.0,72.0,35,45,44,8.0,10.0,15.0,6.0,15.0
Rodolfo Cota Robles,183,86,34,75,75,186098.0,RES, Mexico,12,12.0,14.0,26.0,13.0,15,15,12,31,25,59,56,52,73,60,50,69,36,80,16,29,14,11,55.0,25.0,25,13,12,75.0,70.0,67.0,79.0,75.0
Francisco Guillermo Ochoa Magaña,185,78,36,82,82,140233.0,GK, Mexico,15,12.0,19.0,37.0,16.0,10,14,17,37,20,50,50,57,70,43,53,79,38,60,11,19,23,16,50.0,16.0,21,10,12,82.0,74.0,70.0,83.0,87.0
Érick Gabriel Gutiérrez Galaviz,178,68,27,76,77,220854.0,SUB, Mexico,70,68.0,54.0,78.0,65.0,74,72,67,77,77,69,68,74,73,74,77,53,79,67,73,64,74,69,78.0,67.0,71,70,67,7.0,14.0,10.0,8.0,16.0
Héctor Alfredo Moreno Herrera,186,75,34,77,77,173432.0,LCB, Mexico,62,43.0,82.0,73.0,55.0,54,48,28,68,68,58,52,59,76,60,64,72,64,72,44,77,77,46,58.0,63.0,80,75,75,12.0,15.0,14.0,9.0,10.0
Héctor Miguel Herrera López,185,78,32,78,78,156519.0,RCM, Mexico,65,72.0,61.0,81.0,60.0,74,69,68,79,78,65,66,70,76,67,81,75,88,81,76,83,75,74,72.0,67.0,76,79,67,6.0,10.0,15.0,7.0,16.0
Orbelín Pineda Alvarado,169,63,26,77,78,224574.0,SUB, Mexico,75,75.0,41.0,79.0,67.0,80,68,56,70,75,82,80,91,70,83,76,64,84,56,79,67,66,70,73.0,81.0,63,65,65,15.0,14.0,7.0,10.0,10.0
José Andrés Guardado Hernández,169,67,35,77,77,171897.0,SUB, Mexico,74,64.0,55.0,83.0,69.0,78,78,80,79,80,65,58,79,75,87,73,71,80,59,73,73,73,69,79.0,70.0,72,74,75,7.0,10.0,10.0,11.0,10.0
Jorge Eduardo Sánchez Ramos,175,71,24,76,82,233493.0,RB, Mexico,65,44.0,64.0,67.0,40.0,74,65,40,63,70,91,92,83,72,86,67,78,89,79,45,69,72,60,64.0,50.0,72,73,71,10.0,10.0,12.0,12.0,7.0
Henry Josué Martín Mex,177,83,29,77,77,224151.0,SUB, Mexico,59,79.0,78.0,70.0,65.0,72,64,51,60,73,76,76,78,72,83,79,88,75,85,65,75,42,83,63.0,65.0,45,21,22,9.0,10.0,11.0,9.0,12.0
Carlos Uriel Antuna Romero,174,59,24,74,76,237997.0,SUB, Mexico,65,77.0,43.0,69.0,55.0,75,57,48,58,72,93,89,92,67,77,74,63,81,42,66,42,35,77,63.0,54.0,24,31,32,10.0,13.0,14.0,9.0,11.0
Hirving Rodrigo Lozano Bahena,175,70,26,81,81,221992.0,LW, Mexico,73,77.0,62.0,74.0,74.0,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74.0,73.0,42,35,29,11.0,10.0,14.0,14.0,10.0
Jesús Daniel Gallardo Vasconcelos,176,73,27,78,78,226045.0,LB, Mexico,78,69.0,64.0,75.0,49.0,76,73,47,66,76,86,85,80,70,71,75,77,88,71,59,65,72,72,69.0,65.0,75,74,72,9.0,7.0,8.0,12.0,11.0
Luis Gerardo Chávez Magallón,178,73,26,76,79,222382.0,SUB, Mexico,74,64.0,48.0,80.0,65.0,75,76,76,78,76,75,75,71,75,71,62,42,84,64,78,60,67,65,76.0,70.0,70,75,60,7.0,10.0,14.0,9.0,12.0
Roberto Carlos Alvarado Hernández,176,70,23,74,77,237043.0,SUB, Mexico,75,68.0,58.0,75.0,62.0,76,76,65,70,76,76,74,81,71,77,77,62,82,65,75,62,52,71,75.0,62.0,52,52,52,8.0,14.0,13.0,13.0,14.0
Kevin Nahin Álvarez Campos,176,66,23,75,80,253008.0,SUB, Mexico,71,48.0,60.0,73.0,45.0,67,58,41,71,69,82,83,78,68,77,55,61,80,64,39,68,71,66,53.0,60.0,65,75,72,15.0,11.0,7.0,11.0,6.0
Wojciech Tomasz Szczęsny,195,90,32,86,86,186153.0,GK, Poland,12,12.0,16.0,32.0,14.0,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48.0,18.0,20,13,12,86.0,81.0,73.0,86.0,87.0
Matty Cash,185,74,24,79,84,227174.0,SUB, Poland,76,68.0,49.0,74.0,48.0,76,66,48,71,75,79,82,78,80,74,78,77,87,68,64,82,76,73,67.0,44.0,77,79,79,15.0,16.0,13.0,13.0,8.0
Artur Jędrzejczyk,189,86,34,69,69,177790.0,SUB, Poland,61,43.0,67.0,62.0,52.0,60,47,34,62,61,62,54,56,65,61,69,80,72,81,39,81,68,58,50.0,34.0,63,69,65,7.0,8.0,12.0,16.0,11.0
Mateusz Wieteska,187,82,25,68,73,224302.0,RES, Poland,33,36.0,71.0,62.0,32.0,34,29,24,49,58,58,66,65,64,56,38,87,68,77,19,72,67,41,40.0,39.0,64,69,65,15.0,12.0,13.0,16.0,9.0
Jan Kacper Bednarek,189,77,26,77,81,220570.0,RCB, Poland,44,19.0,80.0,65.0,20.0,50,23,26,55,63,49,51,52,77,59,25,81,75,82,23,79,81,26,52.0,32.0,78,76,74,11.0,13.0,16.0,7.0,9.0
Krystian Bielik,189,78,24,73,77,224763.0,RES, Poland,49,33.0,70.0,73.0,46.0,73,48,45,74,73,54,63,65,68,48,62,65,65,79,52,73,73,59,72.0,42.0,73,72,68,15.0,7.0,12.0,8.0,8.0
Arkadiusz Krystian Milik,186,80,28,76,76,205175.0,SUB, Poland,63,78.0,79.0,73.0,78.0,74,76,79,64,77,55,65,64,71,61,84,64,60,75,79,67,36,80,64.0,79.0,35,34,32,9.0,16.0,16.0,15.0,6.0
Damian Dawid Szymański,185,76,27,71,72,223779.0,SUB, Poland,53,68.0,64.0,70.0,61.0,65,65,52,69,71,70,69,68,68,68,69,63,86,73,67,82,68,73,71.0,48.0,70,70,70,15.0,14.0,16.0,14.0,10.0
Robert Lewandowski,185,81,33,91,91,188545.0,ST, Poland,71,94.0,91.0,84.0,89.0,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81.0,90.0,35,42,19,15.0,6.0,12.0,8.0,10.0
Grzegorz Krychowiak,186,78,32,77,77,197242.0,SUB, Poland,63,64.0,75.0,77.0,66.0,69,54,62,77,78,48,51,34,77,34,81,66,73,81,78,80,76,68,64.0,78.0,74,76,72,15.0,14.0,8.0,6.0,7.0
Kamil Grosicki,180,78,34,71,71,177922.0,RES, Poland,72,66.0,63.0,67.0,68.0,71,74,65,62,71,88,86,78,67,73,70,52,55,65,67,47,48,68,68.0,65.0,36,28,20,16.0,10.0,15.0,14.0,11.0
Łukasz Skorupski,187,84,31,76,76,189908.0,SUB, Poland,19,11.0,10.0,29.0,17.0,18,12,19,26,23,51,51,48,74,38,44,66,31,58,15,33,17,13,32.0,22.0,18,12,12,78.0,73.0,59.0,74.0,81.0
Jakub Kamiński,179,68,20,73,85,252495.0,SUB, Poland,67,72.0,68.0,68.0,46.0,74,71,48,51,74,91,90,85,66,67,64,57,74,55,69,40,47,68,68.0,52.0,43,45,42,5.0,10.0,13.0,8.0,14.0
Jakub Kiwior,189,75,22,70,77,265693.0,LCB, Poland,41,29.0,67.0,68.0,32.0,63,33,34,67,67,57,71,49,72,53,62,65,85,71,28,73,71,57,64.0,39.0,73,70,68,7.0,7.0,6.0,13.0,14.0
Kamil Jacek Glik,190,80,34,74,74,190547.0,CB, Poland,29,27.0,75.0,61.0,17.0,49,35,26,51,58,34,35,32,70,50,57,81,63,86,20,88,75,24,23.0,39.0,76,74,71,10.0,14.0,5.0,8.0,10.0
Karol Świderski,184,78,25,75,80,224301.0,LF, Poland,50,80.0,76.0,70.0,71.0,71,61,70,59,75,69,68,72,71,64,73,64,74,75,69,60,33,79,65.0,69.0,31,21,19,14.0,12.0,11.0,12.0,7.0
Szymon Piotr Żurkowski,185,77,24,76,81,239732.0,LCM, Poland,70,74.0,65.0,78.0,62.0,76,68,58,71,77,78,85,80,76,80,78,71,90,78,74,75,73,77,72.0,52.0,73,71,71,10.0,6.0,11.0,13.0,6.0
Bartosz Bereszyński,182,77,29,75,75,199763.0,RM, Poland,70,50.0,60.0,68.0,56.0,68,65,50,62,70,83,85,73,68,72,64,69,84,68,60,75,68,60,60.0,50.0,69,73,74,9.0,8.0,16.0,7.0,15.0
Sebastian Szymański,174,60,23,76,85,235973.0,RCM, Poland,78,71.0,58.0,77.0,47.0,80,80,74,73,80,85,82,85,72,82,67,52,70,32,71,62,23,72,74.0,54.0,36,44,32,9.0,10.0,10.0,14.0,14.0
Piotr Sebastian Zieliński,180,75,28,83,83,210406.0,RF, Poland,73,77.0,52.0,84.0,75.0,84,80,69,81,85,83,79,85,81,79,79,52,79,57,83,56,75,82,82.0,58.0,69,72,71,12.0,9.0,12.0,11.0,6.0
Nicola Zalewski,175,70,20,71,83,262113.0,LM, Poland,73,58.0,56.0,74.0,59.0,76,64,57,72,76,84,83,75,68,75,72,57,71,45,46,57,60,69,69.0,63.0,64,66,62,10.0,5.0,7.0,8.0,15.0
Kamil Mieczysław Grabara,195,85,23,73,79,228383.0,SUB, Poland,15,14.0,21.0,41.0,12.0,18,18,20,40,28,42,42,44,63,45,52,50,36,68,15,33,22,14,52.0,20.0,24,18,17,75.0,72.0,69.0,74.0,74.0
Krzysztof Piątek,183,77,27,75,76,223113.0,SUB, Poland,51,79.0,76.0,64.0,74.0,70,60,41,39,75,68,75,69,75,62,77,80,72,76,66,54,31,80,52.0,76.0,33,34,24,10.0,15.0,10.0,6.0,13.0
Przemysław Frankowski,175,70,27,75,75,212138.0,SUB, Poland,73,69.0,56.0,73.0,71.0,71,71,53,71,71,93,92,74,72,75,71,74,81,69,70,66,63,71,67.0,54.0,64,68,65,7.0,14.0,13.0,8.0,11.0
Robert Gumny,182,71,24,71,76,233409.0,SUB, Poland,64,28.0,50.0,68.0,46.0,66,53,31,52,70,85,71,77,63,74,47,66,79,70,38,41,68,59,57.0,38.0,69,71,68,11.0,6.0,13.0,12.0,6.0
Michał Skóraś,172,64,22,67,77,251633.0,SUB, Poland,63,57.0,48.0,63.0,49.0,67,55,40,61,64,84,83,85,57,75,53,56,83,56,44,64,41,60,60.0,52.0,44,38,28,7.0,12.0,9.0,8.0,8.0
Hugo Lloris,188,82,35,87,87,167948.0,GK, France,13,10.0,9.0,43.0,15.0,12,12,10,45,29,61,62,54,84,56,49,74,41,43,14,31,25,9,51.0,40.0,24,12,18,88.0,83.0,65.0,84.0,88.0
Benjamin Pavard,186,81,26,80,82,226851.0,RB, France,76,43.0,82.0,76.0,74.0,68,63,51,74,76,68,65,66,78,66,76,86,79,78,53,75,79,58,66.0,51.0,77,82,83,9.0,7.0,15.0,7.0,15.0
Axel Arthur Disasi,190,86,24,77,82,229942.0,RES, France,25,20.0,77.0,66.0,36.0,54,34,27,64,62,46,54,31,76,34,54,72,66,92,17,78,77,23,51.0,36.0,78,78,75,12.0,8.0,11.0,8.0,6.0
Raphaël Varane,191,81,29,85,86,201535.0,RCB, France,42,46.0,86.0,78.0,42.0,61,46,52,77,75,77,84,62,82,39,52,80,72,87,53,78,84,55,59.0,43.0,85,86,83,11.0,11.0,9.0,5.0,14.0
Jules Koundé,178,75,23,81,86,241486.0,SUB, France,45,47.0,79.0,81.0,32.0,70,42,26,75,73,84,82,70,84,74,48,88,76,79,40,74,85,47,62.0,43.0,84,83,81,11.0,10.0,8.0,14.0,13.0
Mattéo Elias Kenzo Guendouzi Olié,184,68,23,80,86,236496.0,SUB, France,66,64.0,67.0,85.0,55.0,75,76,67,80,80,72,73,81,76,72,74,72,88,75,66,84,83,72,83.0,62.0,75,79,76,6.0,13.0,6.0,13.0,11.0
Antoine Griezmann,173,73,31,84,84,194765.0,CAM, France,83,82.0,83.0,82.0,85.0,85,87,85,80,85,79,80,90,86,83,82,88,84,64,83,73,49,88,85.0,81.0,43,54,49,14.0,8.0,14.0,13.0,14.0
Aurélien Tchouaméni,187,81,22,82,89,241637.0,CDM, France,68,67.0,74.0,85.0,50.0,78,76,53,84,80,68,71,73,83,70,78,74,84,82,75,82,85,75,82.0,55.0,81,83,78,9.0,8.0,12.0,12.0,7.0
Olivier Giroud,193,93,35,82,82,178509.0,SUB, France,64,86.0,91.0,78.0,86.0,69,71,65,60,85,41,43,54,84,53,86,82,56,90,69,76,42,87,78.0,87.0,37,37,20,12.0,15.0,11.0,6.0,5.0
Kylian Mbappé Lottin,182,73,23,91,95,231747.0,LS, France,78,93.0,72.0,85.0,83.0,93,80,69,71,91,97,97,92,93,81,87,77,87,76,82,62,38,92,82.0,79.0,26,34,32,13.0,5.0,7.0,11.0,6.0
Ousmane Dembélé,178,67,25,83,86,231443.0,SUB, France,81,75.0,43.0,78.0,76.0,89,82,64,76,84,94,93,90,78,81,83,58,68,51,76,54,36,77,76.0,75.0,42,30,33,6.0,6.0,14.0,10.0,13.0
Randal Kolo Muani,187,73,23,79,85,237679.0,SUB, France,43,79.0,77.0,76.0,69.0,85,68,54,61,81,88,84,81,77,51,75,82,68,69,63,32,38,81,65.0,63.0,32,32,31,7.0,14.0,15.0,8.0,5.0
Youssouf Fofana,178,69,23,78,83,245630.0,RCM, France,66,65.0,58.0,79.0,46.0,76,66,56,77,78,68,68,70,78,75,75,59,84,75,71,78,79,74,77.0,64.0,74,81,74,12.0,7.0,12.0,5.0,9.0
Adrien Rabiot,191,80,27,81,82,210008.0,LCM, France,72,68.0,69.0,84.0,69.0,80,55,59,81,83,70,79,71,82,69,86,73,88,80,76,69,80,76,74.0,67.0,71,81,73,9.0,12.0,9.0,7.0,15.0
Jordan Veretout,177,67,29,79,79,201519.0,SUB, France,69,70.0,59.0,81.0,72.0,77,69,71,77,81,78,75,77,76,81,83,74,78,79,77,82,76,74,74.0,80.0,77,79,77,9.0,10.0,11.0,8.0,9.0
Steve Mandanda,187,82,37,79,79,163705.0,SUB, France,14,13.0,13.0,60.0,13.0,19,13,12,36,27,53,43,52,80,36,56,69,31,61,7,37,23,11,59.0,11.0,13,15,13,77.0,79.0,74.0,77.0,81.0
William Alain André Gabriel Saliba,192,85,21,80,87,243715.0,SUB, France,58,37.0,67.0,78.0,34.0,69,55,35,74,78,76,79,50,79,57,60,72,72,83,23,82,83,43,62.0,47.0,80,84,79,7.0,10.0,6.0,8.0,11.0
Dayotchanculle Oswald Upamecano,186,90,23,81,86,229558.0,LCB, France,48,39.0,82.0,75.0,27.0,69,32,28,72,67,74,90,63,75,67,60,87,65,88,40,83,76,47,58.0,39.0,77,83,88,6.0,7.0,8.0,15.0,9.0
Karim Benzema,187,81,34,91,91,165153.0,RS, France,75,92.0,90.0,89.0,88.0,87,82,75,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89.0,84.0,43,24,18,13.0,11.0,5.0,5.0,7.0
Kingsley Junior Coman,180,76,26,85,86,213345.0,SUB, France,81,75.0,61.0,79.0,78.0,88,83,70,74,87,94,90,92,86,84,83,73,71,66,73,35,23,84,81.0,70.0,29,27,21,5.0,3.0,5.0,3.0,5.0
Lucas François Bernard Hernández Pi,184,79,26,84,86,220814.0,LB, France,78,53.0,82.0,75.0,46.0,65,59,39,63,76,77,77,70,85,72,62,86,76,78,51,90,83,62,63.0,42.0,85,87,86,10.0,7.0,8.0,14.0,10.0
Theo Bernard François Hernández,184,81,24,84,87,232656.0,SUB, France,84,69.0,74.0,80.0,68.0,83,69,64,68,79,92,94,78,85,76,84,68,90,81,74,82,79,80,73.0,50.0,74,81,80,12.0,10.0,7.0,7.0,7.0
Alphonse Areola,195,94,29,81,83,193105.0,SUB, France,20,19.0,14.0,48.0,16.0,15,16,16,37,22,56,54,58,75,58,56,72,38,80,14,26,23,17,51.0,25.0,13,18,12,85.0,79.0,75.0,78.0,84.0
