long_name,height_cm,weight_kg,age,overall,potential,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year
Federico Julián Fazio,195,85,30,82,82,SUB,Argentina,44,41.0,89.0,64.0,35.0,48,46,37,62,72,31,30,29,82,32,63,40,69,90,26,84,83,32,47.0,33.0,85,84,79,8.0,9.0,12.0,11.0,14.0,2018
Georginio Wijnaldum,175,69,26,82,85,RCM,Netherlands,67,74.0,72.0,83.0,73.0,85,76,70,74,84,79,82,82,82,80,78,82,87,71,71,64,70,82,78.0,74.0,60,69,64,16.0,6.0,14.0,12.0,6.0,2018
Néstor Fernando Muslera Micol,190,84,31,82,82,GK,Uruguay,15,10.0,12.0,44.0,10.0,25,14,10,47,23,60,62,68,78,62,25,84,45,68,10,32,23,13,58.0,24.0,17,16,16,81.0,75.0,75.0,83.0,85.0,2018
Orestis Spyridon Karnezis,190,81,31,82,82,GK,Greece,19,16.0,24.0,22.0,14.0,15,11,11,36,23,44,34,45,78,49,22,64,33,66,18,18,23,10,47.0,21.0,13,15,24,80.0,83.0,70.0,80.0,84.0,2018
Jordan Henderson,182,67,27,82,84,RDM,England,81,67.0,65.0,85.0,72.0,74,80,74,83,80,73,71,73,79,71,75,81,93,76,71,80,79,76,82.0,64.0,73,80,76,7.0,13.0,7.0,9.0,13.0,2018
Marko Arnautović,192,83,28,82,82,LW,Austria,83,73.0,71.0,79.0,79.0,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81.0,77.0,49,60,30,14.0,15.0,10.0,10.0,15.0,2018
Gylfi Þór Sigurðsson,186,77,27,82,82,CAM,Iceland,86,81.0,60.0,84.0,75.0,79,87,89,78,84,65,66,72,78,61,82,70,86,67,84,57,37,80,84.0,80.0,55,56,55,13.0,8.0,10.0,15.0,12.0,2018
Wojciech Tomasz Szczęsny,196,85,27,82,84,GK,Poland,12,12.0,16.0,32.0,14.0,11,16,14,36,22,51,47,55,81,51,15,71,45,65,14,40,15,14,48.0,18.0,11,13,12,83.0,77.0,74.0,78.0,87.0,2018
Aaron Ramsey,183,76,26,82,83,RF,Wales,75,72.0,58.0,84.0,79.0,81,70,70,80,82,67,68,76,81,75,81,67,89,69,74,73,69,82,80.0,75.0,60,70,67,6.0,11.0,5.0,10.0,8.0,2018
Taison Barcellos Freda,172,64,29,82,82,SUB,Brazil,73,76.0,56.0,77.0,82.0,87,52,73,75,85,93,91,89,79,83,83,62,70,62,83,56,49,74,79.0,72.0,38,53,40,7.0,7.0,11.0,15.0,13.0,2018
Nathaniel Edwin Clyne,175,67,26,82,84,SUB,England,79,54.0,67.0,77.0,45.0,76,64,39,67,76,82,83,83,76,76,74,69,87,71,69,76,79,72,64.0,46.0,81,83,86,10.0,11.0,13.0,15.0,7.0,2018
Douglas Costa de Souza,170,65,26,82,82,SUB,Brazil,76,71.0,51.0,78.0,73.0,85,79,78,71,83,96,88,91,76,90,86,61,74,63,84,55,32,77,78.0,77.0,28,31,30,13.0,15.0,9.0,12.0,5.0,2018
Ciro Immobile,185,85,27,82,83,LS,Italy,55,86.0,75.0,70.0,81.0,77,70,51,49,79,77,85,77,85,63,86,77,71,74,76,77,40,86,62.0,76.0,31,33,32,6.0,8.0,15.0,12.0,6.0,2018
Juan Guillermo Cuadrado Bello,179,71,29,82,82,RAM,Colombia,78,67.0,58.0,77.0,68.0,90,76,69,69,83,90,92,91,76,83,84,75,75,57,80,70,62,78,72.0,65.0,60,60,68,5.0,5.0,13.0,6.0,9.0,2018
Xherdan Shaqiri,169,72,25,82,85,RAM,Switzerland,74,72.0,37.0,80.0,76.0,85,82,78,76,83,87,79,88,80,92,85,63,74,62,81,64,65,78,79.0,65.0,40,41,48,13.0,12.0,12.0,11.0,11.0,2018
Gary Alexis Medel Soto,171,71,29,82,82,LCB,Chile,55,31.0,68.0,78.0,61.0,63,35,45,76,74,74,74,78,80,92,65,92,84,76,59,89,86,58,72.0,62.0,78,84,82,14.0,7.0,9.0,6.0,6.0,2018
Luís Miguel Afonso Fernandes,177,72,27,82,82,SUB,Portugal,77,77.0,45.0,82.0,77.0,82,83,76,81,82,83,76,87,82,84,74,67,90,59,78,68,68,85,86.0,76.0,62,64,52,15.0,14.0,9.0,9.0,15.0,2018
Granit Xhaka,185,82,24,82,85,LDM,Switzerland,66,49.0,62.0,85.0,50.0,70,68,70,86,80,48,51,53,83,61,88,39,78,76,85,92,77,77,82.0,59.0,71,73,68,7.0,8.0,11.0,7.0,13.0,2018
Eric Dier,188,90,23,82,87,LDM,England,67,52.0,83.0,76.0,52.0,66,54,77,77,70,70,74,56,76,40,83,77,80,87,72,90,80,53,66.0,70.0,79,82,83,11.0,14.0,6.0,13.0,9.0,2018
Jesús Joaquín Fernández Sáez de la Torre,176,70,23,82,87,SUB,Spain,81,70.0,50.0,83.0,72.0,87,84,80,75,89,84,80,86,78,86,78,50,77,50,82,23,20,76,82.0,72.0,19,23,18,15.0,15.0,9.0,8.0,9.0,2018
Raheem Sterling,170,69,22,82,87,SUB,England,73,73.0,38.0,81.0,59.0,85,64,49,67,84,94,92,91,79,92,68,60,75,64,70,34,26,81,75.0,63.0,48,58,54,15.0,12.0,12.0,15.0,9.0,2018
Karim Bellarabi,183,80,27,82,82,SUB,Germany,76,75.0,48.0,80.0,72.0,87,70,58,59,82,91,93,86,81,78,85,75,73,68,78,59,38,78,77.0,57.0,28,30,33,10.0,12.0,7.0,11.0,10.0,2018
Davy Klaassen,179,70,24,82,85,SUB,Netherlands,63,82.0,74.0,83.0,82.0,72,62,44,75,81,73,73,67,84,64,78,74,92,74,78,76,68,84,78.0,75.0,59,74,62,12.0,6.0,13.0,16.0,10.0,2018
Lucas Vázquez Iglesias,173,70,26,82,83,SUB,Spain,85,77.0,52.0,81.0,54.0,82,82,75,75,83,83,79,82,85,78,77,67,90,57,78,65,44,81,82.0,56.0,21,49,35,9.0,16.0,9.0,9.0,7.0,2018
Quincy Anton Promes,174,72,25,82,85,LW,Netherlands,75,82.0,60.0,76.0,68.0,83,75,76,69,82,86,91,87,81,78,82,82,81,61,83,60,27,79,81.0,72.0,25,24,27,10.0,13.0,6.0,7.0,13.0,2018
Federico Bernardeschi,183,75,23,82,88,SUB,Italy,77,73.0,48.0,80.0,70.0,86,79,80,70,87,84,84,85,80,79,80,49,83,63,82,52,34,80,78.0,72.0,28,36,32,14.0,15.0,10.0,13.0,12.0,2018
Jonathan Tah,192,92,21,82,88,SUB,Germany,35,19.0,80.0,74.0,24.0,55,30,27,69,64,64,78,48,81,39,44,71,60,91,25,70,80,27,61.0,38.0,82,86,80,11.0,8.0,7.0,9.0,14.0,2018
Jean Michaël Seri,168,65,25,82,83,LCM,Côte d'Ivoire,72,69.0,60.0,87.0,47.0,79,77,81,84,84,84,77,83,77,86,78,76,79,72,76,73,74,77,84.0,67.0,73,75,69,14.0,13.0,9.0,10.0,12.0,2018
Nabil Fekir,173,78,23,82,85,SUB,France,73,78.0,49.0,80.0,74.0,86,80,71,72,86,79,80,84,76,91,84,69,67,77,81,69,28,79,78.0,72.0,24,33,30,15.0,9.0,8.0,14.0,15.0,2018
Gianluigi Donnarumma,196,90,18,82,94,SUB,Italy,12,12.0,12.0,34.0,8.0,24,12,14,24,28,46,54,64,74,38,24,72,34,72,18,30,26,14,50.0,24.0,12,14,16,88.0,78.0,72.0,78.0,88.0,2018
Tom Heaton,188,86,31,81,81,SUB,England,17,12.0,16.0,32.0,12.0,17,15,13,37,28,56,53,54,74,52,14,73,40,66,12,31,24,12,46.0,24.0,15,15,13,80.0,79.0,76.0,80.0,83.0,2018
Simon Luc Hildebert Mignolet,193,87,29,81,81,SUB,Belgium,11,11.0,16.0,37.0,16.0,14,16,12,34,24,55,56,34,77,42,45,69,31,72,16,34,21,16,40.0,41.0,13,14,16,80.0,76.0,65.0,78.0,84.0,2018
Simon Thorup Kjær,189,90,28,81,82,RCB,Denmark,54,55.0,82.0,75.0,37.0,42,52,73,74,67,60,68,48,76,58,78,70,78,83,41,80,81,31,49.0,61.0,80,82,80,6.0,10.0,13.0,10.0,15.0,2018
Séamus Coleman,177,67,28,81,81,RB,Republic of Ireland,81,62.0,67.0,78.0,64.0,78,42,35,70,78,74,72,76,83,74,75,72,84,73,68,78,76,75,70.0,60.0,82,84,83,5.0,15.0,10.0,13.0,7.0,2018
Konstantinos Mitroglou,188,89,29,81,81,ST,Greece,60,82.0,85.0,66.0,80.0,75,72,71,59,78,53,62,50,79,34,85,79,71,90,78,83,10,83,66.0,61.0,10,15,10,12.0,7.0,10.0,8.0,16.0,2018
Marco Parolo,184,75,32,81,81,SUB,Italy,70,70.0,75.0,80.0,76.0,75,67,55,83,79,68,74,67,82,71,87,77,88,78,86,80,80,82,78.0,45.0,71,80,82,13.0,9.0,6.0,7.0,9.0,2018
Christian Benteke Liolo,190,83,26,81,83,SUB,Belgium,58,79.0,87.0,72.0,73.0,73,60,67,48,80,70,76,69,72,48,85,82,74,90,74,63,29,76,73.0,77.0,25,30,18,14.0,5.0,12.0,8.0,5.0,2018
Giuliano Victor de Paula,172,68,27,81,82,SUB,Brazil,73,76.0,59.0,79.0,66.0,82,68,69,75,82,83,79,85,81,85,79,61,75,74,74,71,42,78,81.0,75.0,47,43,38,16.0,11.0,13.0,9.0,8.0,2018
José Paulo Bezzera Maciel Júnior,181,81,28,81,81,RCM,Brazil,64,72.0,80.0,81.0,75.0,77,66,72,76,81,76,76,70,81,64,79,88,92,69,76,69,78,75,75.0,71.0,77,78,73,16.0,16.0,11.0,6.0,8.0,2018
Manuel Lanzini,167,59,24,81,87,SUB,Argentina,74,70.0,56.0,80.0,61.0,87,75,76,78,86,85,80,88,73,88,75,76,78,45,73,47,23,72,79.0,73.0,20,32,25,14.0,9.0,6.0,7.0,15.0,2018
Chris Smalling,194,81,27,81,82,SUB,England,52,50.0,83.0,66.0,54.0,59,49,22,63,58,69,75,60,78,48,42,75,77,87,35,83,79,48,49.0,52.0,80,82,80,10.0,15.0,16.0,15.0,15.0,2018
Lukáš Hrádecký,190,80,27,81,83,GK,Finland,11,11.0,11.0,15.0,9.0,10,11,15,20,19,38,44,43,82,39,14,69,34,55,14,31,18,9,53.0,20.0,11,10,13,79.0,77.0,73.0,79.0,85.0,2018
Jesús Manuel Corona Ruíz,173,62,24,81,85,RM,Mexico,73,76.0,67.0,76.0,75.0,91,85,67,68,84,87,79,90,82,87,66,72,74,39,66,45,45,80,77.0,68.0,29,40,31,11.0,6.0,10.0,14.0,9.0,2018
Ricardo Iván Rodríguez Araya,180,77,24,81,84,SUB,Switzerland,87,59.0,64.0,78.0,67.0,76,82,84,79,78,73,74,73,82,72,78,73,75,70,72,75,81,68,74.0,83.0,76,79,81,14.0,13.0,14.0,14.0,11.0,2018
Kevin Kampl,178,67,26,81,83,SUB,Slovenia,64,65.0,34.0,84.0,58.0,84,76,64,78,82,86,75,91,82,81,70,67,88,47,72,64,74,76,82.0,64.0,45,68,56,13.0,11.0,7.0,6.0,16.0,2018
Grzegorz Krychowiak,186,85,27,81,83,SUB,Poland,59,42.0,83.0,79.0,40.0,63,46,62,83,75,62,68,59,77,52,81,75,77,91,70,87,81,52,71.0,78.0,75,82,72,15.0,14.0,8.0,6.0,7.0,2018
Sebastián Coates Nión,196,92,26,81,83,SUB,Uruguay,17,32.0,80.0,73.0,55.0,65,47,19,73,63,50,64,33,74,31,62,62,79,93,30,82,80,49,50.0,42.0,76,84,85,16.0,13.0,15.0,16.0,13.0,2018
Serge Alain Stéphane Aurier,176,76,24,81,85,RB,Côte d'Ivoire,80,65.0,75.0,76.0,50.0,76,69,30,72,77,84,84,76,81,78,78,93,87,81,58,83,76,74,71.0,66.0,77,80,82,7.0,10.0,15.0,16.0,9.0,2018
Marc Bartra Aregall,184,73,26,81,83,SUB,Spain,55,43.0,82.0,79.0,43.0,70,56,45,78,78,78,77,73,81,71,64,86,66,68,62,79,86,61,75.0,52.0,82,78,84,10.0,15.0,13.0,12.0,8.0,2018
Wilfried Zaha,180,66,24,81,84,SUB,Côte d'Ivoire,79,74.0,43.0,72.0,59.0,88,54,51,65,86,89,90,89,73,79,75,50,78,73,62,68,23,74,74.0,66.0,36,32,34,15.0,10.0,15.0,11.0,10.0,2018
Jasper Cillessen,185,83,28,81,83,GK,Netherlands,17,10.0,12.0,47.0,19.0,12,10,10,33,32,54,50,48,78,50,35,71,40,67,15,25,25,11,60.0,21.0,18,12,11,79.0,83.0,74.0,81.0,77.0,2018
Thomas Meunier,190,88,25,81,84,RM,Belgium,81,72.0,72.0,79.0,79.0,81,69,56,74,80,72,80,63,79,49,77,72,92,85,76,73,74,78,71.0,65.0,80,82,79,8.0,13.0,15.0,6.0,9.0,2018
Jack Butland,196,95,24,81,87,SUB,England,11,16.0,12.0,36.0,12.0,21,12,14,40,26,38,43,48,73,35,29,61,35,63,13,32,27,16,31.0,42.0,16,13,11,81.0,83.0,72.0,78.0,85.0,2018
Jamie Vardy,179,74,30,81,81,SUB,England,63,83.0,64.0,66.0,73.0,76,59,48,48,76,91,91,78,86,77,85,74,88,68,67,92,49,84,72.0,76.0,48,52,51,15.0,14.0,7.0,15.0,11.0,2018
Adrien Rabiot,188,71,22,81,86,SUB,France,69,66.0,75.0,84.0,69.0,79,67,57,81,82,72,68,75,76,50,80,72,80,78,79,74,77,74,81.0,68.0,66,77,69,9.0,12.0,9.0,7.0,15.0,2018
Armindo Tué Na Bangna,173,70,22,81,86,SUB,Portugal,76,70.0,52.0,74.0,60.0,86,75,69,70,83,94,92,93,79,90,81,78,79,57,67,64,38,75,69.0,71.0,21,39,28,11.0,13.0,8.0,12.0,8.0,2018
Joshua Walter Kimmich,176,70,22,81,87,RB,Germany,88,66.0,69.0,85.0,61.0,77,81,61,80,83,76,65,83,83,83,75,79,85,65,67,74,79,76,79.0,44.0,77,78,79,8.0,15.0,7.0,15.0,15.0,2018
Andreas Bødtker Christensen,188,78,21,81,89,CB,Denmark,49,36.0,79.0,76.0,25.0,65,32,22,70,72,61,66,54,80,62,31,74,66,69,20,73,81,32,60.0,36.0,83,88,84,10.0,12.0,8.0,6.0,8.0,2018
Davinson Sánchez Mina,187,79,21,81,88,SUB,Colombia,36,40.0,81.0,65.0,28.0,54,22,27,61,64,65,76,62,74,55,74,74,79,86,44,85,76,34,44.0,44.0,81,82,85,9.0,7.0,10.0,6.0,15.0,2018
Julian Weigl,186,72,21,81,87,SUB,Germany,58,47.0,63.0,89.0,52.0,73,58,46,83,81,74,67,77,84,65,50,64,82,63,51,64,86,55,79.0,50.0,67,82,76,6.0,14.0,16.0,11.0,7.0,2018
Gelson Dany Batalha Martins,173,65,22,81,88,SUB,Portugal,79,66.0,51.0,75.0,74.0,85,84,60,56,83,95,94,94,82,94,72,65,87,48,74,57,43,77,78.0,66.0,43,46,36,12.0,9.0,7.0,6.0,9.0,2018
Gabriel Fernando de Jesus,175,73,20,81,92,ST,Brazil,66,83.0,66.0,75.0,67.0,87,76,54,66,85,89,85,93,82,92,78,75,84,63,73,56,32,83,75.0,78.0,20,17,19,13.0,8.0,6.0,6.0,15.0,2018
Mehmet Topal,187,82,31,80,80,LCB,Turkey,56,58.0,76.0,77.0,54.0,72,60,54,76,79,67,68,66,80,62,84,80,90,79,73,70,86,56,58.0,68.0,78,85,79,15.0,10.0,15.0,9.0,11.0,2018
Andreas Granqvist,192,84,32,80,80,LCB,Sweden,49,51.0,81.0,73.0,37.0,49,36,40,67,63,46,49,55,76,36,74,64,67,83,59,81,82,54,49.0,79.0,83,83,79,7.0,9.0,12.0,10.0,15.0,2018
Salomon Armand Magloire Kalou,184,77,31,80,80,SUB,Côte d'Ivoire,69,83.0,76.0,78.0,78.0,87,72,62,68,85,69,67,77,82,78,76,76,67,68,67,35,32,83,75.0,86.0,22,33,27,8.0,9.0,14.0,7.0,6.0,2018
Łukasz Fabiański,190,83,32,80,80,SUB,Poland,14,13.0,11.0,20.0,17.0,14,18,12,32,22,50,47,52,71,44,14,68,25,65,20,43,16,15,52.0,22.0,11,12,13,77.0,84.0,70.0,78.0,84.0,2018
Renato Soares de Oliveira Augusto,186,86,29,80,80,LCM,Brazil,79,65.0,57.0,81.0,77.0,85,80,75,81,84,66,67,66,83,66,81,49,71,78,81,53,70,75,81.0,68.0,67,68,59,6.0,11.0,16.0,15.0,8.0,2018
Ryan Bertrand,179,85,27,80,80,SUB,England,82,50.0,69.0,76.0,43.0,77,74,66,70,79,79,79,76,76,68,59,71,83,73,54,73,77,63,51.0,52.0,79,82,82,11.0,13.0,15.0,10.0,15.0,2018
Jonathan dos Santos Ramírez,172,74,27,80,81,CAM,Mexico,83,62.0,57.0,84.0,73.0,80,80,76,78,85,68,65,74,78,81,72,69,77,65,74,59,65,80,83.0,59.0,52,63,55,15.0,15.0,7.0,10.0,12.0,2018
José Andrés Guardado Hernández,169,67,30,80,80,LCM,Mexico,73,58.0,55.0,84.0,69.0,80,70,71,82,84,76,76,82,82,88,74,74,84,57,65,72,72,67,81.0,70.0,60,72,72,7.0,10.0,10.0,11.0,10.0,2018
Daniel Wass,181,74,28,80,80,SUB,Denmark,78,69.0,67.0,82.0,69.0,80,79,83,77,81,73,76,78,82,59,86,59,90,68,70,59,74,74,80.0,64.0,59,67,68,11.0,9.0,10.0,13.0,13.0,2018
Antonio Candreva,180,72,30,80,80,RW,Italy,85,74.0,55.0,77.0,75.0,82,74,71,70,84,77,78,74,78,76,87,35,86,70,85,66,59,79,74.0,83.0,54,58,50,10.0,4.0,14.0,4.0,14.0,2018
Sergio Germán Romero,192,87,30,80,80,GK,Argentina,11,14.0,12.0,39.0,17.0,12,12,13,48,40,47,44,52,77,44,14,63,35,75,11,33,21,11,55.0,16.0,14,11,15,78.0,76.0,81.0,78.0,82.0,2018
Héctor Alfredo Moreno Herrera,183,80,29,80,80,LCB,Mexico,64,43.0,84.0,75.0,55.0,56,48,28,68,68,66,66,66,78,62,64,74,71,75,44,78,76,46,59.0,63.0,83,80,82,12.0,15.0,14.0,9.0,10.0,2018
Valter Birsa,184,81,30,80,80,RM,Slovenia,78,62.0,60.0,82.0,73.0,84,78,78,76,86,72,78,68,76,68,84,68,74,78,83,55,49,75,82.0,76.0,44,52,40,3.0,5.0,5.0,5.0,3.0,2018
Bengt Erik Marcus Berg,184,74,30,80,80,RS,Sweden,56,82.0,77.0,72.0,74.0,72,66,47,51,77,74,75,71,75,71,79,74,69,76,74,61,28,83,66.0,70.0,12,33,25,10.0,7.0,12.0,8.0,14.0,2018
Marcelo Alfonso Díaz Rojas,166,63,30,80,80,CM,Chile,74,52.0,63.0,84.0,66.0,72,83,82,81,80,65,57,79,79,94,84,74,86,66,80,78,80,66,76.0,66.0,75,79,68,2.0,2.0,2.0,2.0,2.0,2018
Eder Citadin Martins,179,73,30,80,80,SUB,Italy,72,81.0,60.0,76.0,76.0,83,80,78,58,85,86,84,81,78,80,80,50,74,60,78,60,24,85,78.0,78.0,18,20,26,8.0,12.0,11.0,10.0,9.0,2018
Matteo Darmian,182,70,27,80,81,RB,Italy,71,55.0,68.0,76.0,59.0,74,69,35,66,75,78,77,80,80,78,69,73,88,65,56,76,79,64,63.0,45.0,81,84,82,6.0,7.0,7.0,12.0,7.0,2018
Igor Smolnikov,178,70,28,80,80,SUB,Russia,79,61.0,69.0,80.0,57.0,72,49,46,76,72,84,90,80,77,76,67,85,93,68,57,65,71,77,75.0,41.0,79,78,81,7.0,12.0,10.0,8.0,15.0,2018
Fedor Smolov,187,80,27,80,81,LS,Russia,56,82.0,70.0,77.0,79.0,77,78,64,62,78,89,85,75,74,66,80,67,74,75,74,67,32,83,75.0,74.0,26,28,24,16.0,9.0,16.0,15.0,10.0,2018
James Patrick McCarthy,180,72,26,80,83,LDM,Republic of Ireland,68,55.0,63.0,82.0,61.0,76,64,64,81,74,72,68,66,75,71,67,66,90,78,65,79,78,63,72.0,60.0,79,78,78,12.0,11.0,8.0,10.0,13.0,2018
José Salomón Rondón Giménez,186,86,27,80,80,RS,Venezuela,48,77.0,88.0,69.0,73.0,75,53,52,40,78,73,76,69,73,48,85,71,68,89,70,74,33,82,53.0,62.0,25,23,13,13.0,13.0,7.0,5.0,14.0,2018
Stephan El Shaarawy,178,72,24,80,83,SUB,Italy,70,75.0,51.0,74.0,77.0,84,80,63,57,86,86,87,85,72,82,74,60,70,54,74,54,36,76,73.0,72.0,25,30,25,5.0,3.0,5.0,5.0,3.0,2018
Daley Blind,180,72,27,80,81,LB,Netherlands,80,46.0,71.0,81.0,62.0,73,84,62,80,80,63,58,72,84,75,68,71,86,74,62,70,82,68,76.0,56.0,80,83,76,12.0,9.0,10.0,14.0,10.0,2018
Fabián Ariel Orellana Valenzuela,171,70,31,80,80,SUB,Chile,78,75.0,69.0,77.0,61.0,85,81,79,68,83,82,78,85,80,66,64,69,60,42,80,54,31,75,77.0,75.0,18,37,25,12.0,7.0,15.0,16.0,15.0,2018
André Schürrle,184,73,26,80,81,SUB,Germany,76,80.0,63.0,77.0,82.0,81,80,68,59,79,84,83,77,80,76,86,72,80,66,83,66,44,80,76.0,83.0,23,40,42,7.0,11.0,12.0,9.0,12.0,2018
Norberto Murara Neto,190,84,27,80,80,SUB,Brazil,11,15.0,14.0,36.0,12.0,19,12,13,36,24,53,49,59,74,49,28,79,39,63,19,40,15,11,40.0,22.0,19,14,15,84.0,80.0,74.0,74.0,83.0,2018
Oğuzhan Özyakup,180,75,24,80,85,RDM,Turkey,77,68.0,50.0,86.0,72.0,79,83,77,81,81,76,75,88,74,83,80,71,80,62,79,73,66,74,86.0,78.0,54,65,55,7.0,10.0,9.0,15.0,13.0,2018
Alex Oxlade-Chamberlain,175,70,23,80,85,RM,England,75,68.0,39.0,78.0,58.0,85,67,53,73,82,87,88,84,74,88,75,66,76,70,74,66,51,74,72.0,69.0,52,57,54,16.0,9.0,6.0,9.0,9.0,2018
Luis Fernando Muriel Fruto,179,79,26,80,83,SUB,Colombia,60,80.0,65.0,74.0,75.0,86,77,60,55,85,87,90,86,76,77,82,62,75,80,65,50,16,78,73.0,74.0,18,24,22,8.0,10.0,10.0,14.0,6.0,2018
Pedro Pablo Hernández,185,81,30,80,80,RCM,Chile,54,69.0,53.0,82.0,69.0,81,75,69,80,80,72,70,72,82,52,75,69,73,80,74,87,74,80,81.0,62.0,56,68,70,6.0,15.0,9.0,15.0,10.0,2018
Josip Iličić,190,79,29,80,80,RS,Slovenia,78,78.0,58.0,82.0,80.0,83,77,84,74,87,68,72,70,78,56,87,33,68,68,87,58,46,78,82.0,78.0,26,32,26,13.0,13.0,8.0,12.0,6.0,2018
Layvin Kurzawa,182,74,24,80,85,SUB,France,83,71.0,76.0,81.0,61.0,77,73,53,72,80,81,74,77,80,75,69,82,80,72,67,75,76,76,75.0,62.0,76,79,81,14.0,10.0,7.0,9.0,15.0,2018
Thorgan Hazard,174,69,24,80,84,SUB,Belgium,85,79.0,38.0,79.0,80.0,86,82,79,71,82,85,77,91,80,81,78,64,77,59,78,62,39,80,81.0,73.0,28,45,35,6.0,9.0,7.0,7.0,8.0,2018
John Anthony Brooks,193,78,24,80,85,LCB,United States,36,39.0,86.0,71.0,32.0,65,30,28,72,62,69,78,60,74,51,50,74,64,84,29,76,80,40,57.0,45.0,79,83,80,8.0,7.0,10.0,9.0,10.0,2018
Michy Batshuayi Tunga,185,86,23,80,85,SUB,Belgium,65,83.0,73.0,64.0,74.0,76,61,46,36,77,77,80,78,79,78,83,81,65,82,76,61,23,83,63.0,67.0,16,26,22,9.0,10.0,16.0,7.0,15.0,2018
Kepa Arrizabalaga Revuelta,188,83,22,80,87,SUB,Spain,25,11.0,17.0,32.0,18.0,10,25,19,36,16,34,33,41,74,39,25,71,37,51,14,18,21,15,55.0,24.0,19,18,16,78.0,81.0,75.0,76.0,83.0,2018
Emre Can,184,82,23,80,85,SUB,Germany,70,60.0,70.0,81.0,61.0,76,68,65,80,80,69,73,73,77,71,79,76,85,84,72,83,79,73,78.0,60.0,78,80,79,14.0,8.0,8.0,13.0,11.0,2018
Jonas Hector,185,75,27,80,81,LB,Germany,79,55.0,73.0,80.0,51.0,74,65,65,75,81,76,77,67,80,67,69,63,84,77,61,72,81,62,72.0,65.0,77,81,81,9.0,10.0,10.0,12.0,14.0,2018
Ricardo Domingos Barbosa Pereira,175,70,23,80,86,SUB,Portugal,80,60.0,64.0,80.0,53.0,83,76,42,78,78,89,88,84,80,78,67,76,82,62,62,75,79,78,75.0,53.0,78,80,75,16.0,12.0,15.0,11.0,11.0,2018
Piotr Sebastian Zieliński,180,75,23,80,87,CAM,Poland,77,64.0,52.0,81.0,70.0,84,80,65,77,84,82,83,77,76,76,76,54,75,54,75,56,70,75,82.0,51.0,48,72,71,12.0,9.0,12.0,11.0,6.0,2018
Daniele Rugani,190,82,22,80,88,SUB,Italy,40,33.0,80.0,65.0,35.0,64,45,25,59,65,54,66,59,74,53,58,81,68,80,39,70,84,28,50.0,36.0,84,84,82,5.0,10.0,5.0,5.0,5.0,2018
Julian Brandt,183,82,21,80,88,SUB,Germany,74,74.0,42.0,81.0,66.0,87,69,52,68,83,79,83,81,78,75,77,63,68,65,73,42,29,77,83.0,54.0,25,20,24,11.0,16.0,11.0,8.0,9.0,2018
Alisson Ramsés Becker,191,91,24,80,84,GK,Brazil,17,13.0,19.0,27.0,20.0,16,19,18,20,21,44,35,30,82,37,21,52,32,78,14,27,11,13,65.0,23.0,20,19,16,75.0,76.0,70.0,78.0,86.0,2018
Youri Tielemans,176,72,20,80,90,SUB,Belgium,76,73.0,57.0,80.0,78.0,76,84,74,81,81,52,53,67,76,76,88,65,73,71,88,70,72,74,83.0,76.0,64,72,69,6.0,8.0,10.0,14.0,12.0,2018
Marcus Rashford,185,70,19,80,89,LM,England,72,79.0,68.0,74.0,71.0,83,74,73,65,79,93,92,90,76,78,82,63,83,73,66,67,42,81,73.0,74.0,22,32,25,11.0,6.0,15.0,7.0,14.0,2018
Francisco Guillermo Ochoa Magaña,185,78,31,79,79,GK,Mexico,15,12.0,19.0,31.0,16.0,10,14,17,32,18,47,50,65,74,42,25,75,34,56,11,19,23,16,48.0,16.0,11,10,12,76.0,69.0,78.0,78.0,87.0,2018
Aleksandr Samedov,177,72,32,79,79,RM,Russia,80,74.0,59.0,80.0,61.0,74,86,79,69,78,81,80,78,78,73,73,64,82,68,75,73,42,77,80.0,81.0,52,52,47,8.0,8.0,8.0,11.0,12.0,2018
Igor Akinfeev,186,82,31,79,79,GK,Russia,19,13.0,18.0,23.0,10.0,15,19,13,22,22,51,50,53,67,45,24,62,35,72,13,24,17,11,62.0,10.0,17,13,13,77.0,72.0,78.0,82.0,83.0,2018
Héctor Miguel Herrera López,183,72,27,79,80,RCM,Mexico,63,64.0,59.0,75.0,59.0,75,67,63,71,76,73,74,66,75,70,81,66,92,73,76,79,79,76,73.0,58.0,74,76,67,6.0,10.0,15.0,7.0,16.0,2018
Michael Krohn-Dehli,170,68,34,79,79,SUB,Denmark,82,76.0,50.0,80.0,53.0,77,77,83,81,78,69,66,76,85,78,81,57,67,66,68,67,75,82,86.0,76.0,54,73,61,10.0,8.0,15.0,16.0,11.0,2018
